665976	(	
665977	10600	
665978	Fuss	
665979	=	
665980	3350	
665981	Meter	
665982	Keil	
665983	.	
665984	)	
665985	Sonntag	
665986	den	
665987	20.	
665988	August	
665989	marschirte	
665990	ich	
665991	mit	
665992	Michel	
665993	Groder	
665994	von	
665995	Kals	B-LOC
665996	wenige	
665997	Minuten	
665998	nach	
665999	6	
666000	früh	
666001	durch	
666002	das	
666003	Virgenthal	B-LOC
666004	aufwärts	
666005	nach	
666006	Prägraten	B-LOC
666007	.	
666008	Hier	
666009	bei	
666010	Isaias	
666011	Steiner	
666012	verproviantirten	
666013	wir	
666014	uns	
666015	und	
666016	stiegen	
666017	Nachmittags	
666018	zur	
666019	Johann’shütte	B-LOC
666020	empor	
666021	.	
666022	Gegen	
666023	6	
666024	Uhr	
666025	Nachmittags	
666026	langten	
666027	wir	
666028	in	
666029	der	
666030	Johann’shütte	B-LOC
666031	an	
666032	und	
666033	trafen	
666034	hier	
666035	einen	
666036	Soldaten	
666037	,	
666038	welcher	
666039	mit	
666040	Holzspalten	
666041	beschäftigt	
666042	war	
666043	und	
666044	vergeblich	
666045	seines	
666046	Herren	
666047	,	
666048	eines	
666049	Officiers	
666050	der	
666051	Mappirungs-Commission	
666052	harrte	
666053	.	
666054	Raum	
666055	war	
666056	somit	
666057	genug	
666058	vorhanden	
666059	und	
666060	für	
666061	eine	
666062	prächtige	
666063	Lagerstatt	
666064	ist	
666065	,	
666066	seitdem	
666067	diese	
666068	Unterkunftshütte	
666069	in	
666070	den	
666071	Besitz	
666072	des	
666073	Deutschen	
666074	Alpenvereins	
666075	übergegangen	
666076	,	
666077	auch	
666078	gesorgt	
666079	.	
666080	Besonders	
666081	dankend	
666082	gedenke	
666083	ich	
666084	zweier	
666085	schwerer	
666086	wollener	
666087	Decken	
666088	,	
666089	welche	
666090	als	
666091	Eigenthum	
666092	der	
666093	Hütte	
666094	uns	
666095	zu	
666096	Gute	
666097	kamen	
666098	;	
666099	ich	
666100	kann	
666101	hier	
666102	nur	
666103	den	
666104	Wunsch	
666105	aussprechen	
666106	,	
666107	unser	
666108	Alpenverein	
666109	möge	
666110	für	
666111	noch	
666112	einige	
666113	solche	
666114	Exemplare	
666115	sorgen	
666116	,	
666117	da	
666118	die	
666119	Johann’shütte	B-LOC
666120	auch	
666121	in	
666122	neuerer	
666123	Zeit	
666124	stark	
666125	frequentirt	
666126	wird	
666127	(	
666128	es	
666129	waren	
666130	gleich	
666131	Tages	
666132	darauf	
666133	nicht	
666134	weniger	
666135	als	
666136	fünf	
666137	Touristen	
666138	in	
666139	derselben	
666140	zu	
666141	Gaste	
666142	)	
666143	.	
666144	Im	
666145	Uebrigen	
666146	ist	
666147	die	
666148	Johann’shütte	B-LOC
666149	viel	
666150	comfortabler	
666151	eingerichtet	
666152	als	
666153	beispielsweise	
666154	die	
666155	Rainerhütte	B-LOC
666156	,	
666157	in	
666158	welcher	
666159	wenige	
666160	Tage	
666161	vorher	
666162	jegliche	
666163	Einrichtung	
666164	fehlte	
666165	.	
666166	Es	
666167	war	
666168	1	
666169	Uhr	
666170	vorüber	
666171	,	
666172	als	
666173	mich	
666174	Michel	
666175	weckte	
666176	,	
666177	1	
666178	¼	
666179	Stunde	
666180	später	
666181	waren	
666182	wir	
666183	marschbereit	
666184	.	
666185	Die	
666186	Nacht	
666187	war	
666188	stockfinster	
666189	,	
666190	Michel	
666191	noch	
666192	nie	
666193	hiergewesen	
666194	,	
666195	auch	
666196	durfte	
666197	der	
666198	schwache	
666199	Lichtschein	
666200	der	
666201	Laterne	
666202	nicht	
666203	hoch	
666204	angeschlagen	
666205	werden	
666206	und	
666207	so	
666208	war	
666209	es	
666210	denn	
666211	eine	
